order_id,deal_or_not
136100,0
140370,0
211009,0
41571,1
64125,1
76131,0
238671,0
5045,0
37230,0
138976,0
317501,0
327726,0
335321,0
93305,1
158994,1
180094,1
47901,0
102132,0
172968,0
270498,0
295725,0
28869,1
30783,1
58967,1
67258,1
185220,1
20960,0
38894,0
50434,0
52829,0
103767,0
149619,0
155389,0
195334,0
203919,0
248156,0
324317,0
326549,0
337508,0
70536,0
108717,0
145843,0
170961,0
174692,0
201993,0
249109,0
325086,0
338860,0
339262,0
8179,0
11247,0
150510,0
315864,0
6905,0
68232,0
273284,0
281808,0
328929,0
113247,0
179326,0
182330,0
186141,0
321537,0
11170,1
86638,1
122293,1
130151,1
148069,1
1316,0
7096,0
13421,0
26192,0
30061,0
32371,0
49546,0
49849,0
77183,0
89132,0
92205,0
136214,0
247541,0
279364,0
48586,0
117203,0
179630,0
207504,0
63928,0
161672,0
165194,0
11524,1
26730,1
105365,1
136990,1
149885,1
194981,1
508,0
29131,0
32562,0
38794,0
39811,0
40039,0
42686,0
87998,0
103222,0
108623,0
140857,0
164170,0
172158,0
172787,0
173060,0
202838,0
248619,0
277000,0
288049,0
298796,0
300364,0
315718,0
64561,1
150100,1
57213,0
123453,0
248110,0
46742,1
97956,1
133757,1
136534,1
736,0
862,0
1933,0
20883,0
57825,0
63983,0
83071,0
112989,0
125692,0
135610,0
143716,0
153542,0
154925,0
156130,0
164730,0
171599,0
174897,0
177392,0
178659,0
196749,0
199958,0
217855,0
219744,0
227572,0
242552,0
242769,0
255363,0
265318,0
266900,0
269085,0
298399,0
305248,0
324498,0
328062,0
329566,0
331513,0
159795,0
93424,0
178228,0
181890,0
66321,1
78233,1
121823,1
136898,1
156897,1
177551,1
3133,0
57298,0
136867,0
199971,0
230679,0
230790,0
290205,0
326092,0
338534,0
107141,0
275566,0
75343,0
57208,1
131923,1
138747,1
33313,0
64071,0
68410,0
89232,0
93514,0
132574,0
135967,0
200866,0
206527,0
238066,0
275032,0
275866,0
286563,0
289313,0
